,OTU,environmental_category,dsrab_type,supercluster,level1_taxon,level2_taxon,level3_taxon
14,Desulfomicrobium_escambiense__DscEsca2,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
15,Desulfomicrobium_norvegicum__DscNorv2,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
16,Desulfomicrobium_macestii__DscMace2,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
17,Desulfovibrio_piger__DslPige2,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
18,Desulfovibrio_africanus__DslAfri3,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
19,Desulfovibrio_burkinensis__DslBurk2,Soil,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
20,Desulfovibrio_cuneatus__DslCune3,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
21,Desulfovibrio_fructosivorans__DslFruc2,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
22,Desulfovibrio_intestinalis__DslInte3,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
23,Desulfovibrio_longus__DslLong2,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
24,Desulfovibrio_simplex__DslSimpl,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
25,Desulfovibrio_termitidis__DslTerm2,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
26,Desulfovibrio_vulgaris_oxamicus__DslVulg9,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
27,Thermodesulfobium_narugense__TrfNaru2,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Thermodesulfobium
28,uncultured_bacterium__Unc01cww,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
29,uncultured_bacterium__Unc01cwx,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
30,uncultured_bacterium__Unc01cwz,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
31,uncultured_bacterium__Unc01cx0,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
32,uncultured_bacterium__Unc01cx1,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
33,uncultured_bacterium__Unc01cx2,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
34,uncultured_bacterium__Unc01cx3,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
35,uncultured_bacterium__Unc01cx7,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
36,uncultured_bacterium__Unc01cx9,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
37,hot_spring_clone_NSdsr3-2-2__HotSpri2,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
38,hot_spring_clone_NSdsr3-2-4__HotSpri3,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
39,hot_spring_clone_YSdsr1__HotSpri4,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
40,hot_spring_clone_YSdsr3__HotSpri5,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
41,hot_spring_clone_YSdsr4__HotSpri6,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
42,hot_spring_clone_YSdsr2__HotSpri7,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
43,deep-sea_hydrothermal_vent_clone_SUIYOdsr-A__DeeHydro,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
44,deep-sea_hydrothermal_vent_clone_SUIYOdsr-B__DeeHydr2,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
45,Solid_waste_digester_clone_MSA01__Z96Waste,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
46,Solid_waste_digester_clone_MSNA01__Z96Wast2,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
47,MSW_digester_clone__Unc01cxc,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
48,Hydrothermal_vent_chimney_clone__UncSu171,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
49,Hydrothermal_vent_chimney_clone__UncSu172,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
50,Hydrothermal_vent_chimney_clone__UncSu173,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
51,Hydrothermal_vent_chimney_clone__UncSu174,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
52,Hydrothermal_vent_chimney_clone__UncSu175,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
53,Hydrothermal_vent_chimney_clone__UncSu176,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
54,Hydrothermal_vent_chimney_clone__UncSu177,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
55,Hydrothermal_vent_chimney_clone__UncSu178,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
56,Hydrothermal_vent_chimney_clone__UncSu179,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
57,Hydrothermal_vent_chimney_clone__UncSu180,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
58,Hydrothermal_vent_chimney_clone__UncSu181,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
59,Hydrothermal_vent_chimney_clone__UncSu182,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
60,Hydrothermal_vent_chimney_clone__UncSu183,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
61,Hydrothermal_vent_chimney_clone__UncSu184,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
62,Hydrothermal_vent_chimney_clone__UncSu185,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
63,Hydrothermal_vent_chimney_clone__UncSu186,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
64,Hydrothermal_vent_chimney_clone__UncSu187,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
65,Hydrothermal_vent_chimney_clone__UncSu188,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
66,Hydrothermal_vent_chimney_clone__UncSu189,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
67,Hydrothermal_vent_chimney_clone__UncSu190,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
68,Hydrothermal_vent_chimney_clone__UncSu191,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
69,Hydrothermal_vent_chimney_clone__UncSu192,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
70,Hydrothermal_vent_chimney_clone__UncSu193,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
71,Hydrothermal_vent_chimney_clone__UncSu194,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
72,Hydrothermal_vent_chimney_clone__UncSu195,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
73,Hydrothermal_vent_chimney_clone__UncSu196,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
74,Hydrothermal_vent_chimney_clone__UncSu197,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfoarculus baarsii lineage
75,Hydrothermal_vent_chimney_clone__UncSu198,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
76,Hydrothermal_vent_chimney_clone__UncSu199,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
77,Hydrothermal_vent_chimney_clone__UncSu200,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
78,Hydrothermal_vent_chimney_clone__UncSu201,Thermophilic,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Unclassified
79,Hydrothermal_vent_chimney_clone__UncSu202,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
80,Hydrothermal_vent_chimney_clone__UncSu203,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
81,Hydrothermal_vent_chimney_clone__UncSu204,Thermophilic,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Unclassified
82,Hydrothermal_vent_chimney_clone__UncSu205,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
83,Hydrothermal_vent_chimney_clone__UncSu206,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
84,Hydrothermal_vent_chimney_clone__UncSu207,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
85,Hydrothermal_vent_chimney_clone__UncSu208,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
86,Hydrothermal_vent_chimney_clone__UncSu209,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
87,Hydrothermal_vent_chimney_clone__UncSu210,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
88,Hydrothermal_vent_chimney_clone__UncSu211,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
89,Hydrothermal_vent_chimney_clone__UncSu212,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
90,Hydrothermal_vent_chimney_clone__UncSu213,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
91,Desulfoeubacterium_aminovorum__DbmAmino,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
92,Pelotomaculum_propionicicum__PtmSpec4,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Firmicutes, Clostridia, Unclassified
93,Desulfotomaculum_sp._Srb55__DslSp133,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
94,Juan_de_Fuca_ridge_borehole_clone_Spi55__DesBact4,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfohalobiaceae
95,Desulfuromonadales_bacterium_Tc37__DldBact3,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
96,Juan_de_Fuca_ridge_borehole_clone__UncSu214,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
97,Juan_de_Fuca_ridge_borehole_clone__UncSu215,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
98,Juan_de_Fuca_ridge_borehole_clone__UncSu216,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
99,Juan_de_Fuca_ridge_borehole_clone__UncSu217,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
100,Juan_de_Fuca_ridge_borehole_clone__UncSu218,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
101,Alvinella_pompejana_epibiont__AvlPomp9,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
102,Alvinella_pompejana_epibiont__AvlPom10,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
103,Alvinella_pompejana_epibiont__AvlPom11,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
104,Alvinella_pompejana_epibiont__AvlPom12,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
105,Alvinella_pompejana_epibiont__AvlPom13,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
106,Alvinella_pompejana_epibiont__AvlPom14,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
107,Alvinella_pompejana_epibiont__AvlPom15,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
108,Alvinella_pompejana_epibiont__AvlPom16,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
109,Alvinella_pompejana_epibiont__AvlPom17,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
110,Alvinella_pompejana_epibiont__AvlPom18,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
111,Alvinella_pompejana_epibiont__AvlPom19,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
112,Desulfovibrio_desulfuricans__DslDes13,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
113,sulfate-reducing_bacterium_AK-01__SltBac22,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
114,"uncultured_bacterium_BMNP_Ben08,_Mnap14,_Phe11__Unc01cxd",Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
115,uncultured_benzene_mineralizing_bacterium___UncBenze,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
116,uncultured_benzene_mineralizing_bacterium_Ben23__UncBenz3,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
117,uncultured_benzene_mineralizing_bacterium_Ben30__UncBenz4,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
118,Desulfovibrio_sp._TBP-1__DslSp134,Unknown/Misc,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
119,sulfate-reducing_bacterium_Hxd3__SltBac23,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
120,uncultured_napthalene_mineralizing_bacterium_Nap51__UncNapth,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
121,uncultured_napthalene_mineralizing_bacterium_Nap29__UncNapt2,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
122,uncultured_napthalene_mineralizing_bacterium_Nap30__UncNapt3,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
123,uncultured_napthalene_mineralizing_bacterium_Nap33__UncNapt4,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
124,uncultured_napthalene_mineralizing_bacterium_Nap61__UncNapt5,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
125,uncultured_phenanthrene_mineralizing_bacterium_Phe01__UncPhena,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
126,uncultured_phenanthrene_mineralizing_bacterium_Phe03__UncPhen2,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
127,uncultured_phenanthrene_mineralizing_bacterium_Phe13L__UncPhen3,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
128,uncultured_phenanthrene_mineralizing_bacterium_Phe15L__UncPhen4,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
129,uncultured_phenanthrene_mineralizing_bacterium_Phe16L__UncPhen5,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
130,uncultured_phenanthrene_mineralizing_bacterium_Phe19L__UncPhen7,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
131,uncultured_phenanthrene_mineralizing_bacterium_Phe20L__UncPhen8,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
132,uncultured_phenanthrene_mineralizing_bacterium_Phe21__UncPhen9,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
133,sulfate-reducing_bacterium_STC__SltBac24,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
134,Desulfovibrio_intestinalis__DslInte4,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
135,Desulfovibrio_piger__DslPige3,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
136,Desulfovibrio_termitidis__DslTerm3,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
137,Desulfovibrio_burkinensis__DslBurk3,Soil,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
138,Desulfovibrio_fructosivorans__DslFruc3,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
139,Desulfomicrobium_apsheronum__DscApsh7,Unknown/Misc,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
140,Desulfonatronum_lacustre__DlnLacu3,Alkaliphilic/halophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfonatronumaceae
141,Desulfohalobium_retbaense__DfmRetb3,Alkaliphilic/Halophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfohalobiaceae
142,Desulfofustis_glycolicus__DffGlyc2,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
143,Syntrophobacter_wolinii__SnpWoli2,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
144,Syntrophobacter_fumaroxidans__SnpFuma3,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
145,Desulfacinum_infernum__DlcInfe2,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
146,Desulfotomaculum_alkaliphilum__DslAlka3,Industrial,Reductive bacterial type DsrAB, FACA group sensu lato, Firmicutes, Clostridia, Desulfotomaculum
147,Desulforhopalus_singaporensis__DfhSing2,Soil,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
148,Desulfonatronovibrio_hydrogenovorans__DftHydr2,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfohalobiaceae
149,Desulfobacter_postgatei__DsbPost3,Estuarine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
