,hit_id,sample_id,subject_id,leaf_id,ref_id
57,ORIF01.8035.1_2/50-394,SAMN04329858,,S365,Anaerobic_bacterium_sk.prop8__Bv2Prop2
58,ORIF01.7405.1_1/8-243,SAMN04329858,,S366,Desulfitibacter_alkalitolerans__DfiAlka2
59,OYKH01.90.1_2/39-412,SAMN06165444,14175675,S9,Bilophila_wadsworthia__BilWads6
60,OYKH01.90.1_1/11-266,SAMN06165444,14175675,S63,Bilophila_wadsworthia__BilWads6
61,OYKH01.3199.1_1/23-192,SAMN06165444,14175675,,
62,OYKH01.1193.1_1/1-93,SAMN06165444,14175675,,
63,OYKH01.1882.1_2/1-127,SAMN06165444,14175675,,
64,OYKH01.1882.1_1/6-125,SAMN06165444,14175675,,
65,ULQH01.22774.1_1/1-246,SAMEA4835653,,,
66,UMCV01.52177.1_1/1-141,SAMEA4835976,,,
67,CABRAA01.133.1_7/53-398,SAMEA5850570,ERP005989|infant_35,S395,Anaerobic_bacterium_sk.prop8__Bv2Prop2
68,CABRAA01.133.1_8/5-240,SAMEA5850570,ERP005989|infant_35,S396,Desulfitibacter_alkalitolerans__DfiAlka2
69,UPLS01.22663.1_4/63-190,SAMEA2737864,,,
70,OXJK01.30384.1_1/2-184,SAMN05826969,T004341,,
71,UPQN01.3.1_186/62-435,SAMEA2737804,,S418,uncultured_bacterium__EF645667
72,UPQN01.3.1_187/11-266,SAMEA2737804,,S419,uncultured_bacterium__EF645667
73,UPQN01.66372.1_1/8-172,SAMEA2737804,,S420,Bilophila_sp._4_1_30__BilSpec3
74,USWG01.18375.1_1/2-243,SAMN06111996,,S35,Bilophila_sp._4_1_30__BilSpec3
75,USWG01.37789.1_1/64-205,SAMN06111996,,,
76,UZHZ01.1361.1_5/64-437,SAMN00791913,,S9,Bilophila_wadsworthia__BilWads6
77,UZHZ01.1361.1_6/11-266,SAMN00791913,,S17,Bilophila_sp._4_1_30__BilSpec3
78,WGVM01.188.1_1/63-417,SAMN12905038,,S399,Desulfovibrio_piger__DslPige3
79,OZKV01.8779.1_1/64-430,SAMN06165244,70995736,S421,Desulfovibrio_piger__DslPige3
80,OZZL01.7074.1_1/28-293,SAMN06165153,51006340,S422,Moorella_thermoacetica_Y72_copy_2__MooTher5
81,CAJLMI01.293.1_1/1-341,SAMEA7847400,,S423,Anaerobic_bacterium_sk.prop8__Bv2Prop2
82,CAJLMI01.293.1_2/7-240,SAMEA7847400,,S424,Desulfitibacter_alkalitolerans__DfiAlka2
83,OYGB01.157.1_1/92-465,SAMN06165590,30733891,S351,uncultured_bacterium__EF645667
84,OYGB01.116.1_5/55-399,SAMN06165590,30733891,S425,Anaerobic_bacterium_sk.prop8__Bv2Prop2
85,OYGB01.157.1_2/11-266,SAMN06165590,30733891,S352,uncultured_bacterium__EF645667
86,OYGB01.116.1_4/5-240,SAMN06165590,30733891,S426,Desulfitibacter_alkalitolerans__DfiAlka2
87,OYGB01.5309.1_2/1-128,SAMN06165590,30733891,,
88,OQPZ01.68446.1_1/2-197,SAMN02712189,,S446,Bilophila_sp._4_1_30__BilSpec3
89,OWBQ01.8.1_53/62-435,SAMEA3708561,,S447,uncultured_bacterium__EF645667
90,OWBQ01.8.1_52/11-266,SAMEA3708561,,S419,uncultured_bacterium__EF645667
91,OPWH01.12327.1_1/62-157,SAMEA2043049,,S448,Bilophila_wadsworthia__BilWads6
92,OWQQ01.8304.1_2/63-436,SAMEA4378285,,S318,Desulfovibrio_piger__DslPige3
93,OWQQ01.8304.1_3/11-266,SAMEA4378285,,S249,Desulfovibrio_piger__DslPige3
94,OYKR01.283.1_2/97-470,SAMN06165504,18184323,S9,Bilophila_wadsworthia__BilWads6
95,OYKR01.283.1_1/11-266,SAMN06165504,18184323,S63,Bilophila_wadsworthia__BilWads6
96,ORRD01.1201.1_14/52-400,SAMEA2338677,,S449,Gordonibacter_pamelaeae__GrdPame5
97,UZNL01.14334.1_1/62-250,SAMN00715143,,S450,Candidatus_Desulfovibrio_trichonymphae
98,ULSH01.35401.1_1/2-238,SAMEA4835702,,,
99,UYDM01.8511.1_2/63-436,SAMEA2151439,,S452,Desulfovibrio_piger__DslPige3
100,UYDM01.8511.1_3/11-266,SAMEA2151439,,S453,uncultured_bacterium__EF645667
101,OQQY01.70848.1_1/1-202,SAMN02711295,A,,
102,OQQY01.63187.1_2/11-158,SAMN02711295,A,S18,Bilophila_sp._4_1_30__BilSpec3
103,OQQY01.71910.1_1/1-113,SAMN02711295,A,,
104,OVYG01.1315.1_12/64-437,SAMEA3708462,,S9,Bilophila_wadsworthia__BilWads6
105,OVYG01.1315.1_13/11-266,SAMEA3708462,,S63,Bilophila_wadsworthia__BilWads6
106,UXRB01.19263.1_2/11-266,SAMEA2155512,,S250,Desulfovibrio_piger__DslPige3
107,UXRB01.19263.1_3/1-286,SAMEA2155512,,,
108,UXRB01.66584.1_2/63-175,SAMEA2155512,,,
109,OZZQ01.3100.1_3/27-294,SAMN06165154,51006340,S493,Moorella_thermoacetica_Y72_copy_2__MooTher5
110,OZZQ01.2726.1_4/28-293,SAMN06165154,51006340,S422,Moorella_thermoacetica_Y72_copy_2__MooTher5
111,UPMR01.3615.1_10/63-436,SAMEA2737866,,S494,Desulfovibrio_piger__DslPige3
112,UPMR01.3615.1_4/63-436,SAMEA2737866,,S494,Desulfovibrio_piger__DslPige3
113,UPMR01.3615.1_3/11-266,SAMEA2737866,,S251,Desulfovibrio_piger__DslPige3
114,UPMR01.3615.1_9/11-266,SAMEA2737866,,S251,Desulfovibrio_piger__DslPige3
115,UPMR01.66066.1_2/2-136,SAMEA2737866,,S495,Bilophila_sp._4_1_30__BilSpec3
116,UPMR01.66066.1_1/11-108,SAMEA2737866,,,
117,OWSK01.6388.1_2/63-436,SAMEA4378329,,S319,Desulfovibrio_piger__DslPige3
118,OWSK01.6388.1_1/11-264,SAMEA4378329,,S496,Desulfovibrio_piger__DslPige3
119,OWSK01.6388.1_6/1-82,SAMEA4378329,,,
120,CAABUQ01.5070.1_1/1-247,SAMN00691554,,,
121,CAABUQ01.18604.1_1/2-161,SAMN00691554,,S502,Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358
122,OWEA01.6517.1_3/63-436,SAMEA3708617,,S397,Desulfovibrio_piger__DslPige3
123,OWEA01.6517.1_2/11-266,SAMEA3708617,,S503,uncultured_bacterium__EF645667
124,UZIE01.3608.1_5/64-437,SAMN00791944,,S9,Bilophila_wadsworthia__BilWads6
125,UZIE01.3608.1_6/11-266,SAMN00791944,,S63,Bilophila_wadsworthia__BilWads6
126,ORVI01.27023.1_1/64-438,SAMEA2338833,,S1,Bilophila_wadsworthia__BilWads6
127,ORVI01.27023.1_2/11-108,SAMEA2338833,,S504,Bilophila_sp._4_1_30__BilSpec3
128,ULXL01.46695.1_1/1-339,SAMEA4835837,,S505,Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358
129,ULXL01.61062.1_1/1-115,SAMEA4835837,,,
130,ULXL01.46695.1_2/11-123,SAMEA4835837,,,
131,ULXL01.82817.1_2/27-294,SAMEA4835837,,S493,Moorella_thermoacetica_Y72_copy_2__MooTher5
132,OWGR01.71931.1_2/11-87,SAMEA3708494,,,
133,OYRO01.1954.1_1/43-233,SAMN06165543,19498608,,
134,ULRD01.28831.1_1/1-232,SAMEA4835675,,,
135,ULRD01.52017.1_1/11-152,SAMEA4835675,,,
136,ULRD01.35842.1_2/63-146,SAMEA4835675,,,
137,UEYE01.11137.1_2/64-437,SAMN06115512,,S568,uncultured_bacterium__EF645667
138,UEYE01.31469.1_1/1-298,SAMN06115512,,S569,Bilophila_sp._4_1_30__BilSpec3
139,UEYE01.14975.1_1/1-230,SAMN06115512,,S475,Bilophila_wadsworthia__BilWads6
140,UEYE01.11137.1_1/11-212,SAMN06115512,,S570,uncultured_bacterium__EF645667
141,UMHE01.11170.1_4/55-428,SAMEA4836090,,S447,uncultured_bacterium__EF645667
142,UMHE01.11170.1_3/11-266,SAMEA4836090,,S419,uncultured_bacterium__EF645667
143,OQXB01.18.1_117/53-401,SAMN04161035,,S571,Anaerobic_bacterium_sk.prop8__Bv2Prop2
144,OQXB01.18.1_116/4-240,SAMN04161035,,S572,Desulfitibacter_alkalitolerans__DfiAlka2
145,ORCJ01.30263.1_1/1-206,SAMN06115435,,S573,Desulfovibrio_vulgaris__DQ826729
146,ORWY01.1258.1_16/64-437,SAMEA2338866,,S9,Bilophila_wadsworthia__BilWads6
147,ORWY01.1258.1_15/11-266,SAMEA2338866,,S63,Bilophila_wadsworthia__BilWads6
148,ORWY01.341.1_49/11-266,SAMEA2338866,,S574,uncultured_bacterium__EF645667
149,ORWY01.95422.1_1/1-223,SAMEA2338866,,,
150,ORWY01.114984.1_1/1-122,SAMEA2338866,,,
151,ORWY01.1188.1_20/63-146,SAMEA2338866,,,
152,ORWY01.113268.1_2/1-119,SAMEA2338866,,S586,Anaerobic_bacterium_sk.prop8__Bv2Prop2
153,ORWY01.341.1_50/1-101,SAMEA2338866,,,
154,OWSN01.3025.1_6/11-266,SAMEA4378267,,S19,Bilophila_wadsworthia__BilWads6
155,OWSN01.4779.1_1/64-165,SAMEA4378267,,,
156,OZPB01.8102.1_2/2-283,SAMN06164804,17997838,,
157,OZPB01.8102.1_1/11-266,SAMN06164804,17997838,S595,uncultured_bacterium__EF645667
158,UZPQ01.2536.1_3/64-437,SAMN00791950,,S9,Bilophila_wadsworthia__BilWads6
159,UZPQ01.2536.1_4/11-266,SAMN00791950,,S63,Bilophila_wadsworthia__BilWads6
160,UMHG01.13160.1_5/64-437,SAMEA4836092,,S9,Bilophila_wadsworthia__BilWads6
161,UMHG01.13160.1_6/11-178,SAMEA4836092,,,
162,UPPQ01.16932.1_2/1-246,SAMEA2737763,,,
163,UPPQ01.49344.1_1/11-149,SAMEA2737763,,,
164,UZHX01.6273.1_1/64-252,SAMN00791942,,,
165,UZHX01.36896.1_2/11-126,SAMN00791942,,,
166,UYDJ01.9802.1_3/63-436,SAMEA2144396,,S598,Desulfovibrio_piger__DslPige3
167,UYDJ01.9802.1_4/11-266,SAMEA2144396,,S251,Desulfovibrio_piger__DslPige3
168,OQHC01.18290.1_4/11-121,SAMD00036207,,,
169,OQHC01.18290.1_1/17-124,SAMD00036207,,S599,Bilophila_sp._4_1_30__BilSpec3
170,OQHC01.18290.1_3/1-96,SAMD00036207,,,
171,CABQGW01.433.1_2/2-344,SAMEA5850071,,S606,Desulfovibrio_vulgaris__DQ826729
172,CABQGW01.433.1_1/11-98,SAMEA5850071,,S607,Bilophila_wadsworthia__BilWads6
173,UZTU01.1044.1_16/64-437,SAMN00792072,,S9,Bilophila_wadsworthia__BilWads6
174,UZTU01.1044.1_15/11-266,SAMN00792072,,S63,Bilophila_wadsworthia__BilWads6
175,ORHZ01.1504.1_5/53-398,SAMN04329852,,S608,MSW_digester_clone__Unc01cxc
176,ORHZ01.1504.1_4/5-240,SAMN04329852,,S609,Desulfitibacter_alkalitolerans__DfiAlka2
177,ORHZ01.22362.1_1/18-219,SAMN04329852,,S610,Anaerobic_bacterium_sk.prop8__Bv2Prop2
178,ORHZ01.9796.1_5/7-91,SAMN04329852,,S611,Anaerobic_bacterium_sk.prop8__Bv2Prop2
179,OQDZ01.8857.1_2/2-188,SAMD00036330,,,
180,OQDZ01.8857.1_5/11-124,SAMD00036330,,,
181,OQDZ01.8857.1_4/1-96,SAMD00036330,,,
182,OQDZ01.8857.1_6/1-56,SAMD00036330,,S621,Bilophila_wadsworthia__BilWads6
183,ORPW01.19403.1_2/63-436,SAMEA2338703,,S505,Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358
184,ORPW01.41734.1_1/1-134,SAMEA2338703,,,
185,ORPW01.19403.1_3/11-125,SAMEA2338703,,,
186,ORPW01.3088.1_4/27-294,SAMEA2338703,,S493,Moorella_thermoacetica_Y72_copy_2__MooTher5
187,OYNT01.492.1_1/63-436,SAMN06165591,30733891,S351,uncultured_bacterium__EF645667
188,OYNT01.275.1_5/53-397,SAMN06165591,30733891,S425,Anaerobic_bacterium_sk.prop8__Bv2Prop2
189,OYNT01.492.1_2/11-266,SAMN06165591,30733891,S352,uncultured_bacterium__EF645667
190,OYNT01.275.1_4/5-240,SAMN06165591,30733891,S426,Desulfitibacter_alkalitolerans__DfiAlka2
191,OYNT01.3576.1_1/6-165,SAMN06165591,30733891,S622,Desulfitibacter_alkalitolerans__DfiAlka2
192,OYNT01.3576.1_2/1-98,SAMN06165591,30733891,S350,Anaerobic_bacterium_sk.prop8__Bv2Prop2
193,ORJZ01.439.1_2/50-397,SAMN04329869,,S365,Anaerobic_bacterium_sk.prop8__Bv2Prop2
194,ORJZ01.439.1_3/7-240,SAMN04329869,,S623,Desulfitibacter_alkalitolerans__DfiAlka2
195,ORJZ01.5073.1_1/63-299,SAMN04329869,,S614,uncultured_bacterium__EF645667
196,ORJZ01.3824.1_2/1-203,SAMN04329869,,,
197,ORJZ01.4803.1_1/23-242,SAMN04329869,,S628,Bilophila_wadsworthia__BilWads6
198,ORJZ01.17253.1_1/2-182,SAMN04329869,,S629,MSW_digester_clone__Unc01cxc
199,ORJZ01.16040.1_1/2-139,SAMN04329869,,,
200,OYSQ01.319.1_2/64-437,SAMN06165573,20069333,S9,Bilophila_wadsworthia__BilWads6
201,OYSQ01.319.1_1/11-266,SAMN06165573,20069333,S63,Bilophila_wadsworthia__BilWads6
202,OYGH01.1486.1_1/7-240,SAMN06165636,50176181,S353,Desulfitibacter_alkalitolerans__DfiAlka2
203,UPSY01.5787.1_5/64-437,SAMN06111932,,S9,Bilophila_wadsworthia__BilWads6
204,UPSY01.8712.1_5/1-204,SAMN06111932,,,
205,OWDJ01.5587.1_5/64-437,SAMEA3708596,,S9,Bilophila_wadsworthia__BilWads6
206,OWDJ01.5587.1_6/11-266,SAMEA3708596,,S17,Bilophila_sp._4_1_30__BilSpec3
207,OWDJ01.86815.1_2/1-127,SAMEA3708596,,,
208,OQSJ01.28389.1_1/2-375,SAMN05214696,,S540,Desulfovibrio_piger__DslPige3
209,OUOT01.25188.1_1/1-370,SAMN05356872,,S634,Desulfovibrio_piger__DslPige3
210,OUOT01.21243.1_2/10-265,SAMN05356872,,S251,Desulfovibrio_piger__DslPige3
211,OUOT01.6296.1_6/3-237,SAMN05356872,,S138,Gordonibacter_pamelaeae__GrdPame5
212,OUOT01.9751.1_1/1-182,SAMN05356872,,,
213,OUOT01.9751.1_2/1-73,SAMN05356872,,S636,Gordonibacter_pamelaeae__GrdPame5
214,JAJCHC01.8.1_78/51-400,SAMN22167639,,S637,Gordonibacter_pamelaeae__GrdPame5
215,JAJCHC01.8.1_77/2-235,SAMN22167639,,S638,Gordonibacter_pamelaeae__GrdPame5
216,OQMR01.18366.1_2/63-436,SAMD00036432,,S639,uncultured_bacterium__EF645667
217,OQMR01.48524.1_2/1-75,SAMD00036432,,S640,uncultured_bacterium__EF645667
218,ORTV01.8208.1_2/64-437,SAMEA2338810,,S139,Bilophila_wadsworthia__BilWads6
219,ORTV01.18253.1_2/11-266,SAMEA2338810,,S641,Bilophila_wadsworthia__BilWads6
220,ORTV01.8208.1_1/11-123,SAMEA2338810,,,
221,USYV01.24307.1_2/1-126,SAMN06112049,,S642,Bilophila_wadsworthia__BilWads6
222,UEPT01.68.1_13/64-437,SAMN06115510,,S9,Bilophila_wadsworthia__BilWads6
223,UEPT01.33940.1_1/1-286,SAMN06115510,,,
224,UEPT01.68.1_14/11-266,SAMN06115510,,S63,Bilophila_wadsworthia__BilWads6
225,UEPT01.39222.1_1/63-219,SAMN06115510,,S647,Desulfovibrio_vulgaris__DQ826729
226,UEPT01.24653.1_1/100-231,SAMN06115510,,S648,uncultured_bacterium__EF645667
227,OWRK01.2906.1_5/64-437,SAMEA4378258,,S9,Bilophila_wadsworthia__BilWads6
228,OWRK01.2906.1_6/11-266,SAMEA4378258,,S17,Bilophila_sp._4_1_30__BilSpec3
229,UPOY01.1248.1_25/63-436,SAMEA2737776,,S612,uncultured_bacterium__EF645667
230,UPOY01.1248.1_26/11-266,SAMEA2737776,,S624,uncultured_bacterium__EF645667
231,UERT01.182.1_12/64-437,SAMN06115458,,S9,Bilophila_wadsworthia__BilWads6
232,UERT01.182.1_13/11-266,SAMN06115458,,S63,Bilophila_wadsworthia__BilWads6
233,OYGO01.100.1_3/64-437,SAMN06165512,18628150,S447,uncultured_bacterium__EF645667
234,OYGO01.100.1_2/11-266,SAMN06165512,18628150,S419,uncultured_bacterium__EF645667
235,OYGO01.1099.1_2/11-258,SAMN06165512,18628150,,
236,OYGO01.2020.1_1/1-206,SAMN06165512,18628150,,
237,ORCK01.92.1_13/64-437,SAMN06115433,,S9,Bilophila_wadsworthia__BilWads6
238,ORCK01.92.1_14/11-266,SAMN06115433,,S63,Bilophila_wadsworthia__BilWads6
239,UYCC01.33328.1_1/2-231,SAMEA2143633,,S650,MSW_digester_clone__Unc01cxc
240,UYCC01.33328.1_2/4-89,SAMEA2143633,,S651,Desulfitibacter_alkalitolerans__DfiAlka2
241,OWCG01.7792.1_1/64-125,SAMEA3708541,,,
242,ULTH01.29009.1_1/1-280,SAMEA4835729,,S670,Desulfovibrio_piger__DslPige3
243,ULTH01.29659.1_1/11-198,SAMEA4835729,,S671,uncultured_bacterium__EF645667
244,ULTH01.8827.1_2/63-146,SAMEA4835729,,,
245,ULTH01.31779.1_1/63-146,SAMEA4835729,,,
246,ULTH01.23905.1_1/1-81,SAMEA4835729,,,
247,OQQV01.41285.1_1/4-282,SAMN02712160,,S140,Bilophila_sp._4_1_30__BilSpec3
248,OQQV01.78867.1_1/1-93,SAMN02712160,,,
249,OXWL01.18943.1_1/1-94,SAMN06164455,10807867,S767,Desulfovibrio_piger__DslPige4
250,UXRN01.18091.1_2/63-436,SAMEA2144304,,S318,Desulfovibrio_piger__DslPige3
251,UXRN01.36488.1_3/50-216,SAMEA2144304,,,
252,UXRN01.76753.1_1/1-155,SAMEA2144304,,S771,Desulfitibacter_alkalitolerans__DfiAlka2
253,UXRN01.18091.1_1/11-148,SAMEA2144304,,,
254,UXRN01.78146.1_2/1-127,SAMEA2144304,,,
255,UXRN01.78146.1_1/6-84,SAMEA2144304,,,
256,OWSA01.10010.1_2/53-397,SAMEA4378328,,S780,Anaerobic_bacterium_sk.prop8__Bv2Prop2
257,OWSA01.10010.1_3/5-240,SAMEA4378328,,S781,Desulfitibacter_alkalitolerans__DfiAlka2
258,OVFL01.784.1_15/64-437,SAMN06016342,,S2,Bilophila_sp._4_1_30__BilSpec3
259,OVFL01.784.1_14/11-266,SAMN06016342,,S17,Bilophila_sp._4_1_30__BilSpec3
260,ORUZ01.72367.1_1/1-171,SAMEA2338804,,,
261,ORUZ01.25874.1_2/6-139,SAMEA2338804,,,
262,ORUZ01.68254.1_2/11-129,SAMEA2338804,,S20,Bilophila_sp._4_1_30__BilSpec3
263,ORUZ01.41283.1_2/57-175,SAMEA2338804,,S784,Bilophila_sp._4_1_30__BilSpec3
264,ULUJ01.93488.1_1/1-207,SAMEA4835757,,S785,Desulfovibrio_piger__DslPige3
265,ULUJ01.86331.1_1/1-123,SAMEA4835757,,,
266,OXOK01.726.1_1/103-476,SAMN05826746,E015378,S9,Bilophila_wadsworthia__BilWads6
267,OXOK01.726.1_2/11-266,SAMN05826746,E015378,S63,Bilophila_wadsworthia__BilWads6
268,ORMC01.19464.1_1/11-108,SAMN04329816,,,
269,ORMC01.19464.1_2/1-123,SAMN04329816,,S795,Desulfovibrio_piger__DslPige3
270,OPYT01.3019.1_4/11-266,SAMD00036228,,S17,Bilophila_sp._4_1_30__BilSpec3
271,OPYT01.3019.1_5/19-277,SAMD00036228,,S3,Bilophila_sp._4_1_30__BilSpec3
272,ORNY01.19979.1_2/64-238,SAMEA2338696,,S209,Bilophila_wadsworthia__BilWads6
273,ORNY01.19161.1_3/1-107,SAMEA2338696,,S744,Bilophila_wadsworthia__BilWads6
274,ORNY01.47016.1_2/11-118,SAMEA2338696,,,
275,OUQF01.46913.1_1/3-244,SAMN05194701,,S796,Desulfovibrio_piger__DslPige3
276,OYUI01.1891.1_1/1-297,SAMN06165690,70863791,,
277,OYUI01.2915.1_1/6-186,SAMN06165690,70863791,S777,Desulfitibacter_alkalitolerans__DfiAlka2
278,OYUI01.6852.1_1/22-173,SAMN06165690,70863791,,
279,OYUI01.3132.1_1/1-132,SAMN06165690,70863791,S745,Bilophila_sp._4_1_30__BilSpec3
280,OYUI01.2915.1_2/1-112,SAMN06165690,70863791,,
281,OYUI01.1891.1_2/11-95,SAMN06165690,70863791,S797,Bilophila_wadsworthia__BilWads6
282,ORKN01.10695.1_1/1-285,SAMN04329856,,S798,Anaerobic_bacterium_sk.prop8__Bv2Prop2
283,OWSU01.53326.1_1/1-289,SAMEA4378292,,,
284,OWSU01.23308.1_2/11-266,SAMEA4378292,,S17,Bilophila_sp._4_1_30__BilSpec3
285,OWSU01.4362.1_12/1-208,SAMEA4378292,,,
286,OWSU01.23308.1_1/1-124,SAMEA4378292,,,
287,OWSU01.87676.1_1/1-101,SAMEA4378292,,,
288,OWSU01.87844.1_1/1-101,SAMEA4378292,,,
289,OWSU01.87844.1_2/11-75,SAMEA4378292,,,
290,UBVR01.17981.1_1/11-265,SAMEA4431962,,S63,Bilophila_wadsworthia__BilWads6
291,UBVR01.17981.1_2/1-231,SAMEA4431962,,,
292,UPPW01.159.1_46/62-435,SAMEA2737743,,S447,uncultured_bacterium__EF645667
293,UPPW01.159.1_45/11-266,SAMEA2737743,,S363,uncultured_bacterium__EF645667
294,UPNB01.100192.1_1/1-170,SAMEA2737848,,,
295,UPNB01.98920.1_1/1-172,SAMEA2737848,,S845,Bilophila_wadsworthia__BilWads6
296,OYUV01.381.1_1/63-436,SAMN06165682,70572554,S129,Desulfovibrio_sp._3_1_syn3__DsvSp230
297,OYUV01.655.1_2/1-338,SAMN06165682,70572554,,
298,OYUV01.655.1_1/11-266,SAMN06165682,70572554,S17,Bilophila_sp._4_1_30__BilSpec3
299,OYUV01.381.1_2/11-266,SAMN06165682,70572554,S846,Desulfovibrio_sp._6_1_46AFAA__DsvSp231
300,OWCI01.4612.1_5/64-437,SAMEA3708670,,S9,Bilophila_wadsworthia__BilWads6
301,OWCI01.30854.1_1/57-346,SAMEA3708670,,,
302,OWCI01.296.1_2/11-266,SAMEA3708670,,S847,Desulfovibrio_piger__DslPige3
