,hit_id,ref_id
20,OUOT01.21243.1_2/10-265,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
21,ULTH01.29009.1_1/1-280,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
22,UXRN01.18091.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
23,ORMC01.19464.1_2/1-123,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
24,OUQF01.46913.1_1/3-244,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
25,OWCI01.296.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
26,UPML01.16805.1_1/51-424,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
27,UPML01.16805.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
28,OWSH01.22541.1_1/32-302,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
29,ORRQ01.6132.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
30,ORRQ01.6132.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
31,UXRK01.9861.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
32,USXT01.2736.1_8/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
33,USXT01.2736.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
34,USXT01.2736.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
35,USXT01.2736.1_7/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
36,UEPD01.5105.1_1/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
37,OXYV01.4533.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
38,UMFW01.36526.1_2/1-155,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
39,UXSA01.2681.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
40,UXSA01.47346.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
41,UEPI01.11494.1_2/1-356,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
42,UEPU01.6531.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
43,UEOQ01.7219.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
44,UXQO01.16248.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
45,UXQO01.16248.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
46,OXCV01.12278.1_2/25-398,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
47,USVW01.1446.1_16/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
48,OWAJ01.9816.1_2/51-424,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
49,OWAJ01.9816.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
50,ULSF01.34850.1_1/1-342,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
51,ULSF01.35904.1_2/7-144,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
52,ULVC01.43899.1_2/11-198,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
53,UZHI01.1633.1_7/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
54,UZHI01.1633.1_6/1-253,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
55,ULWZ01.59103.1_2/11-143,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
56,UAKK01.7292.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
57,ULWY01.49008.1_1/1-199,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
58,OPYE01.17877.1_2/1-305,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
59,UALZ01.7889.1_2/114-464,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
60,UALZ01.7889.1_1/11-165,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
61,UEYJ01.6437.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
62,ORTF01.2734.1_20/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
63,ORSK01.7982.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
64,OVFZ01.2331.1_4/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
65,OVFZ01.2331.1_5/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
66,OURG01.1542.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
67,OURG01.1542.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
68,UXJZ01.3935.1_5/461-557,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
69,ULXO01.5844.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
70,UZKO01.9390.1_1/1-342,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
71,UZKO01.9390.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
72,ULRS01.40355.1_2/11-156,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
73,ORQQ01.5359.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
74,UAPA01.8054.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
75,ORVP01.12199.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
76,CABSKY01.77.1_11/1-365,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
77,CABSKY01.77.1_10/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
78,OQSP01.22336.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
79,OQSP01.22336.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
80,UYEV01.23339.1_1/21-382,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
81,UYEV01.26087.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
82,UYDH01.14813.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
83,OURH01.14390.1_3/8-272,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
84,UEOL01.5489.1_1/64-437,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
85,UEOL01.5489.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
86,OYUL01.1864.1_1/65-193,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
87,UXSH01.15753.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
88,UXTB01.7133.1_2/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
89,OPSK01.10826.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
90,UEPH01.20113.1_1/2-238,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
91,USYL01.53965.1_1/98-204,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
92,UXRX01.12347.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
93,UXRX01.12347.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
94,OYQM01.78.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
95,OYQM01.78.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
96,ULNP01.26053.1_1/1-257,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
97,OUQW01.5128.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
98,OXWS01.17847.1_2/11-177,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
99,OQGT01.817.1_6/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
100,ULRC01.46528.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
101,OYNV01.573.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
102,OYNV01.573.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
103,UYEJ01.21475.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
104,UYEJ01.10009.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
105,ULWE01.4179.1_1/1-179,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
106,ORNQ01.18250.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
107,OZTS01.14377.1_1/11-174,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
108,UPPG01.9417.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
109,OVFR01.8201.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
110,UXSI01.5203.1_10/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
111,UPFC01.581.1_37/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
112,UPFC01.581.1_36/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
113,OUQT01.3364.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
114,OUQT01.3364.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
115,ULMS01.2372.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
116,OVGR01.5425.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
117,OVGR01.5425.1_1/2-140,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
118,OYVI01.1976.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
119,OYXV01.7126.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
120,ULSS01.29083.1_1/42-415,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
121,OWCQ01.3266.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
122,UPPO01.21769.1_1/34-259,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
123,UPPO01.36095.1_2/63-172,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
124,OWRQ01.34225.1_1/49-422,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
125,OQHN01.1173.1_6/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
126,OYFQ01.203.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
127,OYFQ01.203.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
128,OYSP01.436.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
129,OYSP01.436.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
130,UXQX01.8197.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
131,OUPL01.271.1_37/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
132,OROD01.14480.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
133,OURV01.7142.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
134,OURV01.7142.1_3/286-577,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
135,OURV01.46246.1_1/64-208,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
136,UXSD01.108399.1_1/11-186,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
137,UEQP01.4185.1_6/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
138,UEQP01.4185.1_5/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
139,UZQV01.14051.1_2/51-424,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
140,UZQV01.14051.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
141,OWFG01.5623.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
142,UZNE01.28166.1_1/3-205,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
143,UPMU01.6167.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
144,UPMU01.6167.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
145,UZPK01.8576.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
146,UZPK01.8576.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
147,ORPJ01.6141.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
148,UEOK01.185.1_32/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
149,UEOK01.185.1_37/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
150,USWI01.610.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
151,UESP01.1252.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
152,UESP01.1252.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
153,ORSM01.42699.1_2/2-137,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
154,ULUT01.26547.1_1/1-170,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
155,UYER01.26575.1_2/1-214,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
156,UXSG01.82931.1_1/3-267,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
157,UMLL01.5291.1_4/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
158,CAJMRA01.53.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
159,CAJMRA01.53.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
160,USYS01.30542.1_2/14-387,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
161,UPRJ01.32940.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
162,UMGG01.19571.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
163,UZUR01.12685.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
164,ORMX01.9416.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
165,ORMX01.9416.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
166,JAHAKZ01.52.1_4/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
167,OQGO01.6033.1_1/64-259,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
168,OQGO01.6033.1_4/1-118,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
169,UPCL01.2239.1_10/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
170,UPCL01.2239.1_9/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
171,UZQW01.40033.1_1/51-340,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
172,UZQW01.16332.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
173,UEOV01.5028.1_2/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
174,UEOV01.5028.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
175,OWEL01.305.1_34/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
176,ULRP01.80793.1_2/1-156,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
177,ULUH01.33449.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
178,UPLR01.39270.1_2/1-337,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
179,UXQT01.57482.1_1/58-295,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
180,UXQT01.43396.1_2/1-163,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
181,ORPK01.10958.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
182,ORPK01.10958.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
183,ULRE01.57331.1_1/1-200,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
184,ORKA01.1750.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
185,ORKA01.1750.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
186,ORMP01.11882.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
187,ORMP01.11882.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
188,OPRH01.40996.1_1/1-187,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
189,OYLG01.71.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
190,OYLG01.71.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
191,USUE01.14479.1_1/1-253,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
192,OWFH01.14124.1_1/1-365,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
193,ORMN01.11609.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
194,ORMN01.11609.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
195,UPMO01.1077.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
196,OROS01.14746.1_2/1-358,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
197,UERR01.14998.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
198,UERK01.36684.1_2/15-388,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
199,OPXC01.21268.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
200,OYSN01.87.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
201,OYSN01.87.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
202,UPEG01.8060.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
203,OZFZ01.3761.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
204,OZFZ01.3761.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
205,UYCW01.19050.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
206,UYCW01.19050.1_2/11-182,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
207,UPFQ01.11860.1_4/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
208,ORLO01.747.1_7/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
209,ORLO01.747.1_6/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
210,UZHS01.10825.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
211,UPOZ01.9679.1_3/1-365,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
212,UPOZ01.9679.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
213,USXX01.14015.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
214,USXX01.7534.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
215,OYRW01.146.1_1/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
216,OYRW01.146.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
217,UZUA01.31677.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
218,CAJJVK01.48.1_6/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
219,CAJJVK01.48.1_10/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
220,OYVA01.495.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
221,OYVA01.495.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
222,UAKU01.16262.1_2/10-308,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
223,UESU01.45.1_4/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
224,UESU01.45.1_9/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
225,UESU01.45.1_10/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
226,UESU01.45.1_5/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
227,OZGC01.4372.1_3/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
228,OZGC01.4372.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
